id,customerid,ordertimestamp,shippingaddressid,total,shippingcost,created,updated
284,301,2017-05-14 06:00:39.218186+00,301,375,3.9,2018-08-02 13:30:40.686986+00,
285,645,2016-09-25 00:28:13.000586+00,645,394.71,3.9,2018-08-02 13:30:40.686986+00,
286,311,2018-06-02 16:51:36.078986+00,311,450,3.9,2018-08-02 13:30:40.686986+00,
287,244,2017-05-31 01:29:03.918986+00,244,191.37,3.9,2018-08-02 13:30:40.686986+00,
288,492,2017-01-11 04:22:29.243786+00,492,388.54,3.9,2018-08-02 13:30:40.686986+00,
289,994,2017-03-23 22:24:53.877386+00,994,266.4,3.9,2018-08-02 13:30:40.686986+00,
290,218,2017-07-07 20:02:40.235786+00,218,179.55,3.9,2018-08-02 13:30:40.686986+00,
291,488,2017-08-05 02:29:59.934986+00,488,548,3.9,2018-08-02 13:30:40.686986+00,
292,997,2017-01-20 15:17:05.646986+00,997,340.78,3.9,2018-08-02 13:30:40.686986+00,
293,552,2018-01-26 14:43:58.619786+00,552,127,3.9,2018-08-02 13:30:40.686986+00,
294,285,2018-01-07 10:25:46.494986+00,285,41.08,3.9,2018-08-02 13:30:40.686986+00,
295,824,2017-05-09 09:52:31.691786+00,824,68,3.9,2018-08-02 13:30:40.686986+00,
296,966,2018-02-13 01:49:19.048586+00,966,501.22,3.9,2018-08-02 13:30:40.686986+00,
297,873,2017-12-17 08:19:28.696586+00,873,512.65,3.9,2018-08-02 13:30:40.686986+00,
298,1068,2018-05-03 14:13:50.181386+00,1068,150.5,3.9,2018-08-02 13:30:40.686986+00,
299,1085,2018-07-23 16:30:36.712586+00,1085,449.28,3.9,2018-08-02 13:30:40.686986+00,
300,767,2018-07-06 12:13:48.222986+00,767,116,3.9,2018-08-02 13:30:40.686986+00,
301,739,2018-06-06 16:07:06.837386+00,739,334.55,3.9,2018-08-02 13:30:40.686986+00,
302,955,2018-07-31 05:35:49.250186+00,955,144.47,3.9,2018-08-02 13:30:40.686986+00,
303,869,2017-07-25 08:02:12.242186+00,869,87,3.9,2018-08-02 13:30:40.686986+00,
304,625,2018-05-17 00:14:54.578186+00,625,207.1,3.9,2018-08-02 13:30:40.686986+00,
305,320,2017-12-23 16:06:40.398986+00,320,276,3.9,2018-08-02 13:30:40.686986+00,
306,599,2017-04-20 09:57:50.421386+00,599,518.56,3.9,2018-08-02 13:30:40.686986+00,
307,476,2018-07-17 22:08:48.616586+00,476,168,3.9,2018-08-02 13:30:40.686986+00,
308,530,2017-08-30 02:01:18.328586+00,530,520.4,3.9,2018-08-02 13:30:40.686986+00,
309,243,2017-06-25 17:15:03.189386+00,243,296.72,3.9,2018-08-02 13:30:40.686986+00,
310,864,2017-09-14 14:21:36.482186+00,864,427.45,3.9,2018-08-02 13:30:40.686986+00,
311,470,2017-01-24 23:21:55.576586+00,470,415.52,3.9,2018-08-02 13:30:40.686986+00,
312,485,2017-03-17 01:28:06.462986+00,485,102,3.9,2018-08-02 13:30:40.686986+00,
313,557,2017-05-08 19:04:19.480586+00,557,282.28,3.9,2018-08-02 13:30:40.686986+00,
314,105,2018-04-05 19:12:08.891786+00,1105,375.45,3.9,2018-08-02 13:30:40.686986+00,
315,941,2018-01-14 18:15:17.992586+00,941,402.05,3.9,2018-08-02 13:30:40.686986+00,
316,547,2016-08-16 14:19:33.016586+00,547,98.15,3.9,2018-08-02 13:30:40.686986+00,
317,731,2017-03-05 01:19:32.123786+00,731,429.88,3.9,2018-08-02 13:30:40.686986+00,
318,1035,2016-09-01 11:47:47.838986+00,1035,125,3.9,2018-08-02 13:30:40.686986+00,
319,260,2018-06-14 22:05:35.598986+00,260,410.98,3.9,2018-08-02 13:30:40.686986+00,
320,1091,2018-03-04 11:51:49.758986+00,1091,270.82,3.9,2018-08-02 13:30:40.686986+00,
321,812,2018-01-21 16:17:25.029386+00,812,39,3.9,2018-08-02 13:30:40.686986+00,
322,500,2018-03-12 15:12:57.938186+00,500,422.28,3.9,2018-08-02 13:30:40.686986+00,
323,546,2016-08-09 17:52:36.760586+00,546,184.15,3.9,2018-08-02 13:30:40.686986+00,
324,964,2017-02-25 04:02:20.680586+00,964,378.88,3.9,2018-08-02 13:30:40.686986+00,
325,724,2017-08-05 22:12:34.120586+00,724,309.7,3.9,2018-08-02 13:30:40.686986+00,
326,1039,2017-02-11 10:17:56.306186+00,1039,364.04,3.9,2018-08-02 13:30:40.686986+00,
327,668,2018-06-25 05:13:28.322186+00,668,117.6,3.9,2018-08-02 13:30:40.686986+00,
328,690,2016-12-23 18:39:27.698186+00,690,241.67,3.9,2018-08-02 13:30:40.686986+00,
329,114,2018-06-12 04:56:25.000586+00,1114,371.92,3.9,2018-08-02 13:30:40.686986+00,
330,888,2016-12-09 18:12:05.493386+00,888,177.66,3.9,2018-08-02 13:30:40.686986+00,
331,545,2017-09-22 23:27:22.168586+00,545,259,3.9,2018-08-02 13:30:40.686986+00,
332,754,2018-02-05 04:16:53.838986+00,754,383.05,3.9,2018-08-02 13:30:40.686986+00,
333,750,2018-05-14 04:10:07.845386+00,750,531.82,3.9,2018-08-02 13:30:40.686986+00,
334,530,2016-10-13 23:37:23.685386+00,530,370.76,3.9,2018-08-02 13:30:40.686986+00,
335,559,2018-05-27 13:02:11.608586+00,559,118.75,3.9,2018-08-02 13:30:40.686986+00,
336,970,2017-08-12 03:21:42.040586+00,970,107,3.9,2018-08-02 13:30:40.686986+00,
337,892,2017-11-27 22:42:28.475786+00,892,224.55,3.9,2018-08-02 13:30:40.686986+00,
338,228,2018-05-08 22:00:52.898186+00,228,304.12,3.9,2018-08-02 13:30:40.686986+00,
339,349,2016-08-27 21:21:46.101386+00,349,364.2,3.9,2018-08-02 13:30:40.686986+00,
340,837,2016-09-04 09:24:59.896586+00,837,328.04,3.9,2018-08-02 13:30:40.686986+00,
341,933,2016-08-12 02:16:56.027786+00,933,357.49,3.9,2018-08-02 13:30:40.686986+00,
342,174,2018-01-15 12:57:04.802186+00,174,384.84,3.9,2018-08-02 13:30:40.686986+00,
343,598,2017-07-20 23:09:28.389386+00,598,307.18,3.9,2018-08-02 13:30:40.686986+00,
344,1046,2017-02-02 09:12:50.939786+00,1046,471.96,3.9,2018-08-02 13:30:40.686986+00,
345,140,2017-01-23 15:04:16.859786+00,140,357.34,3.9,2018-08-02 13:30:40.686986+00,
346,1076,2016-10-30 11:03:47.368586+00,1076,453.66,3.9,2018-08-02 13:30:40.686986+00,
347,554,2016-12-28 00:15:41.493386+00,554,433.38,3.9,2018-08-02 13:30:40.686986+00,
348,1030,2016-11-13 14:38:14.920586+00,1030,165,3.9,2018-08-02 13:30:40.686986+00,
349,283,2017-03-08 23:15:11.829386+00,283,299.3,3.9,2018-08-02 13:30:40.686986+00,
350,294,2017-12-19 07:20:02.450186+00,294,81,3.9,2018-08-02 13:30:40.686986+00,
351,145,2017-05-29 17:44:42.251786+00,145,402.19,3.9,2018-08-02 13:30:40.686986+00,
352,326,2016-11-23 08:07:25.010186+00,326,353.34,3.9,2018-08-02 13:30:40.686986+00,
353,627,2018-01-12 17:59:45.563786+00,627,269.2,3.9,2018-08-02 13:30:40.686986+00,
354,134,2017-01-20 19:16:30.942986+00,134,115,3.9,2018-08-02 13:30:40.686986+00,
355,550,2016-09-27 22:22:56.114186+00,550,316.78,3.9,2018-08-02 13:30:40.686986+00,
356,772,2018-01-07 06:57:55.605386+00,772,297.78,3.9,2018-08-02 13:30:40.686986+00,
357,1073,2016-09-24 13:28:33.851786+00,1073,447.77,3.9,2018-08-02 13:30:40.686986+00,
358,574,2017-12-22 13:30:53.042186+00,574,213,3.9,2018-08-02 13:30:40.686986+00,
359,820,2016-08-08 05:34:42.030986+00,820,122.45,3.9,2018-08-02 13:30:40.686986+00,
360,458,2017-09-20 14:36:28.216586+00,458,128,3.9,2018-08-02 13:30:40.686986+00,
361,320,2016-08-06 04:46:34.542986+00,320,124.82,3.9,2018-08-02 13:30:40.686986+00,
362,319,2016-08-20 01:53:40.322186+00,319,581.77,3.9,2018-08-02 13:30:40.686986+00,
363,927,2017-11-15 05:19:58.850186+00,927,123,3.9,2018-08-02 13:30:40.686986+00,
364,912,2016-09-02 11:58:58.130186+00,912,291.4,3.9,2018-08-02 13:30:40.686986+00,
365,401,2016-08-14 13:59:40.264586+00,401,44.25,3.9,2018-08-02 13:30:40.686986+00,
366,112,2017-05-28 01:31:07.038986+00,1112,289,3.9,2018-08-02 13:30:40.686986+00,
367,401,2017-06-23 14:12:26.459786+00,401,441.96,3.9,2018-08-02 13:30:40.686986+00,
368,380,2018-06-01 13:29:45.131786+00,380,107.4,3.9,2018-08-02 13:30:40.686986+00,
369,546,2016-10-08 17:31:08.882186+00,546,297.12,3.9,2018-08-02 13:30:40.686986+00,
370,481,2017-11-07 13:50:09.160586+00,481,179,3.9,2018-08-02 13:30:40.686986+00,
371,864,2017-06-25 23:52:38.920586+00,864,149.79,3.9,2018-08-02 13:30:40.686986+00,
372,673,2018-08-01 03:38:23.762186+00,673,396.02,3.9,2018-08-02 13:30:40.686986+00,
373,805,2018-02-28 13:11:14.891786+00,805,344.68,3.9,2018-08-02 13:30:40.686986+00,
374,140,2016-11-08 02:53:39.746186+00,140,53.12,3.9,2018-08-02 13:30:40.686986+00,
375,997,2018-03-22 00:43:58.130186+00,997,308.73,3.9,2018-08-02 13:30:40.686986+00,
376,492,2018-01-10 13:10:29.790986+00,492,260.08,3.9,2018-08-02 13:30:40.686986+00,
377,698,2018-05-12 15:10:34.686986+00,698,216.94,3.9,2018-08-02 13:30:40.686986+00,
378,612,2017-07-27 05:19:15.822986+00,612,191,3.9,2018-08-02 13:30:40.686986+00,
379,233,2017-02-16 14:49:24.002186+00,233,148.4,3.9,2018-08-02 13:30:40.686986+00,
380,1050,2018-07-16 02:47:34.533386+00,1050,517.84,3.9,2018-08-02 13:30:40.686986+00,
381,260,2017-11-13 21:37:29.762186+00,260,153,3.9,2018-08-02 13:30:40.686986+00,
382,515,2016-08-07 12:53:57.227786+00,515,289.44,3.9,2018-08-02 13:30:40.686986+00,
383,485,2017-06-09 21:06:19.202186+00,485,463.54,3.9,2018-08-02 13:30:40.686986+00,
384,448,2018-02-13 01:40:07.211786+00,448,171,3.9,2018-08-02 13:30:40.686986+00,
385,418,2017-01-02 11:31:40.936586+00,418,369.95,3.9,2018-08-02 13:30:40.686986+00,
386,471,2016-12-28 12:10:31.576586+00,471,342,3.9,2018-08-02 13:30:40.686986+00,
387,825,2017-02-26 00:04:53.493386+00,825,60,3.9,2018-08-02 13:30:40.686986+00,
388,173,2017-07-01 10:55:49.576586+00,173,168.6,3.9,2018-08-02 13:30:40.686986+00,
389,109,2017-03-08 07:19:14.843786+00,1109,423.21,3.9,2018-08-02 13:30:40.686986+00,
390,533,2017-10-02 01:57:14.766986+00,533,171.15,3.9,2018-08-02 13:30:40.686986+00,
391,507,2017-06-02 13:59:04.840586+00,507,60,3.9,2018-08-02 13:30:40.686986+00,
392,939,2018-01-10 20:45:00.568586+00,939,95,3.9,2018-08-02 13:30:40.686986+00,
393,118,2018-01-11 05:03:23.435786+00,1118,275.34,3.9,2018-08-02 13:30:40.686986+00,
394,592,2018-03-08 04:32:06.136586+00,592,170.76,3.9,2018-08-02 13:30:40.686986+00,
395,668,2017-05-01 08:15:09.410186+00,668,158.49,3.9,2018-08-02 13:30:40.686986+00,
396,571,2017-12-16 20:52:40.907786+00,571,229.56,3.9,2018-08-02 13:30:40.686986+00,
397,501,2018-04-15 16:39:56.670986+00,501,134.72,3.9,2018-08-02 13:30:40.686986+00,
398,355,2017-07-01 22:38:36.750986+00,355,259.05,3.9,2018-08-02 13:30:40.686986+00,
399,648,2017-06-05 00:12:04.370186+00,648,83.16,3.9,2018-08-02 13:30:40.686986+00,
400,753,2018-06-17 18:10:18.357386+00,753,34.2,3.9,2018-08-02 13:30:40.686986+00,
401,763,2017-11-17 18:16:15.534986+00,763,413.6,3.9,2018-08-02 13:30:40.686986+00,
402,615,2017-11-05 20:02:04.034186+00,615,89.64,3.9,2018-08-02 13:30:40.686986+00,
403,244,2018-07-14 20:33:44.056586+00,244,401.45,3.9,2018-08-02 13:30:40.686986+00,
404,966,2017-02-23 13:41:14.258186+00,966,37.82,3.9,2018-08-02 13:30:40.686986+00,
405,532,2016-12-15 23:45:17.070986+00,532,175.09,3.9,2018-08-02 13:30:40.686986+00,
406,103,2018-06-02 07:00:19.288586+00,1103,146,3.9,2018-08-02 13:30:40.686986+00,
407,774,2016-10-19 01:17:21.746186+00,774,239.22,3.9,2018-08-02 13:30:40.686986+00,
408,104,2016-08-08 11:44:08.037386+00,1104,402,3.9,2018-08-02 13:30:40.686986+00,
409,649,2017-02-11 09:24:05.896586+00,649,235.16,3.9,2018-08-02 13:30:40.686986+00,
410,721,2017-09-07 23:16:31.058186+00,721,351.65,3.9,2018-08-02 13:30:40.686986+00,
411,191,2018-02-20 12:47:52.274186+00,191,106.92,3.9,2018-08-02 13:30:40.686986+00,
412,722,2016-09-03 12:43:59.771786+00,722,70,3.9,2018-08-02 13:30:40.686986+00,
413,329,2016-11-26 20:41:10.917386+00,329,67.2,3.9,2018-08-02 13:30:40.686986+00,
414,1042,2016-09-30 17:19:18.587786+00,1042,353.68,3.9,2018-08-02 13:30:40.686986+00,
415,558,2018-02-01 22:19:51.131786+00,558,268.6,3.9,2018-08-02 13:30:40.686986+00,
416,1093,2017-11-16 03:13:09.861386+00,1093,43.55,3.9,2018-08-02 13:30:40.686986+00,
417,192,2017-09-01 02:43:16.456586+00,192,287.24,3.9,2018-08-02 13:30:40.686986+00,
418,487,2017-10-05 06:42:50.046986+00,487,416.6,3.9,2018-08-02 13:30:40.686986+00,
419,984,2018-04-05 09:13:47.186186+00,984,189,3.9,2018-08-02 13:30:40.686986+00,
420,592,2018-01-19 13:07:17.464586+00,592,55.5,3.9,2018-08-02 13:30:40.686986+00,
421,237,2016-09-07 16:17:08.613386+00,237,141.75,3.9,2018-08-02 13:30:40.686986+00,
422,909,2018-07-02 10:19:56.920586+00,909,463,3.9,2018-08-02 13:30:40.686986+00,
423,319,2018-05-18 17:47:39.544586+00,319,495.8,3.9,2018-08-02 13:30:40.686986+00,
424,599,2017-07-28 15:41:01.614986+00,599,385.12,3.9,2018-08-02 13:30:40.686986+00,
425,436,2017-06-01 20:30:24.299786+00,436,165.68,3.9,2018-08-02 13:30:40.686986+00,
426,645,2016-12-05 09:04:10.293386+00,645,458,3.9,2018-08-02 13:30:40.686986+00,
427,825,2016-08-16 13:44:08.008586+00,825,364,3.9,2018-08-02 13:30:40.686986+00,
428,264,2017-10-28 16:27:01.230986+00,264,110,3.9,2018-08-02 13:30:40.686986+00,
429,387,2016-12-29 15:27:53.992586+00,387,362.08,3.9,2018-08-02 13:30:40.686986+00,
430,163,2018-06-08 03:20:27.045386+00,163,477.17,3.9,2018-08-02 13:30:40.686986+00,
431,638,2017-06-23 10:56:16.274186+00,638,376.28,3.9,2018-08-02 13:30:40.686986+00,
432,887,2017-09-09 11:04:26.853386+00,887,366.14,3.9,2018-08-02 13:30:40.686986+00,
433,991,2016-11-21 11:40:25.902986+00,991,427.86,3.9,2018-08-02 13:30:40.686986+00,
434,501,2016-12-06 23:18:56.814986+00,501,371.6,3.9,2018-08-02 13:30:40.686986+00,
435,321,2018-01-30 14:27:25.624586+00,321,452,3.9,2018-08-02 13:30:40.686986+00,
436,722,2017-11-10 10:02:10.053386+00,722,408.84,3.9,2018-08-02 13:30:40.686986+00,
437,475,2016-09-24 16:18:30.520586+00,475,46.28,3.9,2018-08-02 13:30:40.686986+00,
438,813,2016-10-28 22:01:17.608586+00,813,199.39,3.9,2018-08-02 13:30:40.686986+00,
439,371,2017-08-20 14:14:36.578186+00,371,393.52,3.9,2018-08-02 13:30:40.686986+00,
440,314,2018-06-10 05:01:18.933386+00,314,277.18,3.9,2018-08-02 13:30:40.686986+00,
441,339,2017-06-11 11:52:56.805386+00,339,392.12,3.9,2018-08-02 13:30:40.686986+00,
442,417,2018-03-15 14:04:20.027786+00,417,278.45,3.9,2018-08-02 13:30:40.686986+00,
443,772,2018-01-20 13:01:36.875786+00,772,455.9,3.9,2018-08-02 13:30:40.686986+00,
444,898,2016-10-27 04:51:23.637386+00,898,335.33,3.9,2018-08-02 13:30:40.686986+00,
445,996,2016-09-13 10:56:39.774986+00,996,80,3.9,2018-08-02 13:30:40.686986+00,
446,211,2017-08-14 20:35:53.915786+00,211,377.44,3.9,2018-08-02 13:30:40.686986+00,
447,312,2018-05-11 06:43:24.693386+00,312,125.84,3.9,2018-08-02 13:30:40.686986+00,
448,257,2017-03-29 11:09:05.666186+00,257,68,3.9,2018-08-02 13:30:40.686986+00,
449,243,2018-02-17 22:20:40.898186+00,243,132.3,3.9,2018-08-02 13:30:40.686986+00,
450,633,2018-02-04 16:00:47.368586+00,633,509.73,3.9,2018-08-02 13:30:40.686986+00,
451,832,2018-03-04 05:44:14.862986+00,832,196,3.9,2018-08-02 13:30:40.686986+00,
452,588,2018-03-11 21:54:32.133386+00,588,242.6,3.9,2018-08-02 13:30:40.686986+00,
453,962,2017-01-09 02:36:24.587786+00,962,290.82,3.9,2018-08-02 13:30:40.686986+00,
454,872,2016-08-23 17:35:13.134986+00,872,285.02,3.9,2018-08-02 13:30:40.686986+00,
455,1070,2017-04-01 16:30:57.707786+00,1070,208.14,3.9,2018-08-02 13:30:40.686986+00,
456,965,2018-05-14 11:07:03.669386+00,965,58,3.9,2018-08-02 13:30:40.686986+00,
457,524,2017-09-17 22:07:05.454986+00,524,464.88,3.9,2018-08-02 13:30:40.686986+00,
458,783,2017-10-30 20:59:50.315786+00,783,133,3.9,2018-08-02 13:30:40.686986+00,
459,626,2017-08-22 07:55:55.106186+00,626,382.94,3.9,2018-08-02 13:30:40.686986+00,
460,768,2017-12-26 10:57:28.590986+00,768,294.75,3.9,2018-08-02 13:30:40.686986+00,
461,660,2018-04-17 21:21:48.606986+00,660,272.68,3.9,2018-08-02 13:30:40.686986+00,
462,621,2017-10-14 01:14:56.248586+00,621,302.66,3.9,2018-08-02 13:30:40.686986+00,
463,760,2016-09-29 13:05:20.219786+00,760,245.2,3.9,2018-08-02 13:30:40.686986+00,
464,496,2018-01-27 09:02:04.235786+00,496,471.58,3.9,2018-08-02 13:30:40.686986+00,
465,894,2016-11-21 20:05:41.762186+00,894,89.64,3.9,2018-08-02 13:30:40.686986+00,
466,459,2017-02-23 05:53:40.955786+00,459,301.2,3.9,2018-08-02 13:30:40.686986+00,
467,903,2017-01-31 04:55:20.978186+00,903,244.56,3.9,2018-08-02 13:30:40.686986+00,
468,647,2017-06-20 12:42:15.314186+00,647,440.31,3.9,2018-08-02 13:30:40.686986+00,
469,126,2016-10-20 11:48:55.230986+00,1126,42.9,3.9,2018-08-02 13:30:40.686986+00,
470,529,2017-08-30 17:18:34.437386+00,529,200,3.9,2018-08-02 13:30:40.686986+00,
471,929,2016-10-22 05:11:49.307786+00,929,376.96,3.9,2018-08-02 13:30:40.686986+00,
472,203,2017-12-17 03:46:10.494986+00,203,200.98,3.9,2018-08-02 13:30:40.686986+00,
473,1068,2017-03-03 21:54:22.456586+00,1068,119.5,3.9,2018-08-02 13:30:40.686986+00,
474,852,2016-09-21 14:38:31.595786+00,852,118.17,3.9,2018-08-02 13:30:40.686986+00,
475,689,2016-12-06 05:01:21.438986+00,689,390.53,3.9,2018-08-02 13:30:40.686986+00,
476,359,2017-09-27 13:02:29.666186+00,359,143,3.9,2018-08-02 13:30:40.686986+00,
477,956,2017-09-27 00:05:18.030986+00,956,399.59,3.9,2018-08-02 13:30:40.686986+00,
478,928,2017-03-20 23:19:03.813386+00,928,221.6,3.9,2018-08-02 13:30:40.686986+00,
479,616,2016-10-21 05:54:02.814986+00,616,463,3.9,2018-08-02 13:30:40.686986+00,
480,766,2017-04-09 11:39:50.738186+00,766,187.76,3.9,2018-08-02 13:30:40.686986+00,
481,797,2016-11-08 16:47:36.491786+00,797,355.63,3.9,2018-08-02 13:30:40.686986+00,
482,666,2017-01-06 11:37:12.107786+00,666,259,3.9,2018-08-02 13:30:40.686986+00,
483,1021,2018-07-17 06:00:30.491786+00,1021,240.6,3.9,2018-08-02 13:30:40.686986+00,
484,1008,2016-08-26 00:52:28.667786+00,1008,457.7,3.9,2018-08-02 13:30:40.686986+00,
485,1032,2016-12-16 12:18:25.394186+00,1032,66,3.9,2018-08-02 13:30:40.686986+00,
486,739,2016-12-07 04:11:59.474186+00,739,193,3.9,2018-08-02 13:30:40.686986+00,
487,180,2018-03-31 18:25:46.379786+00,180,416.55,3.9,2018-08-02 13:30:40.686986+00,
488,805,2016-11-18 03:32:44.901386+00,805,226.2,3.9,2018-08-02 13:30:40.686986+00,
489,191,2016-11-12 00:47:57.112586+00,191,172.6,3.9,2018-08-02 13:30:40.686986+00,
490,505,2018-05-13 01:02:37.269386+00,505,78.88,3.9,2018-08-02 13:30:40.686986+00,
491,792,2016-09-20 13:05:58.149386+00,792,51.6,3.9,2018-08-02 13:30:40.686986+00,
492,1080,2017-12-09 11:25:15.419786+00,1080,258.68,3.9,2018-08-02 13:30:40.686986+00,
493,948,2016-10-19 09:44:51.266186+00,948,461.76,3.9,2018-08-02 13:30:40.686986+00,
494,389,2017-04-02 16:05:43.547786+00,389,333.37,3.9,2018-08-02 13:30:40.686986+00,
495,629,2018-03-14 12:02:14.171786+00,629,454.09,3.9,2018-08-02 13:30:40.686986+00,
496,698,2017-10-19 15:40:19.365386+00,698,68,3.9,2018-08-02 13:30:40.686986+00,
497,374,2016-08-15 03:20:50.286986+00,374,379.14,3.9,2018-08-02 13:30:40.686986+00,
498,185,2016-10-31 03:50:14.747786+00,185,356.58,3.9,2018-08-02 13:30:40.686986+00,
499,825,2017-11-27 05:37:50.210186+00,825,272.82,3.9,2018-08-02 13:30:40.686986+00,
500,907,2018-01-15 04:16:37.854986+00,907,67,3.9,2018-08-02 13:30:40.686986+00,
501,193,2017-05-05 13:58:22.677386+00,193,339.22,3.9,2018-08-02 13:30:40.686986+00,
502,624,2017-05-01 08:55:57.294986+00,624,77.42,3.9,2018-08-02 13:30:40.686986+00,
503,1054,2017-05-29 00:08:02.018186+00,1054,73.92,3.9,2018-08-02 13:30:40.686986+00,
504,439,2017-11-24 22:04:18.011786+00,439,74,3.9,2018-08-02 13:30:40.686986+00,
505,945,2018-02-09 10:29:30.789386+00,945,487.2,3.9,2018-08-02 13:30:40.686986+00,
506,974,2017-08-30 13:43:06.318986+00,974,432.72,3.9,2018-08-02 13:30:40.686986+00,
507,711,2017-05-07 22:17:58.466186+00,711,188.57,3.9,2018-08-02 13:30:40.686986+00,
508,381,2018-04-27 22:45:32.507786+00,381,308.7,3.9,2018-08-02 13:30:40.686986+00,
509,977,2017-09-09 20:17:36.549386+00,977,291.86,3.9,2018-08-02 13:30:40.686986+00,
510,620,2017-06-02 08:17:26.526986+00,620,297.48,3.9,2018-08-02 13:30:40.686986+00,
511,597,2017-07-24 01:44:13.365386+00,597,204,3.9,2018-08-02 13:30:40.686986+00,
512,824,2016-11-27 10:21:50.709386+00,824,278.05,3.9,2018-08-02 13:30:40.686986+00,
513,469,2017-10-14 23:57:50.651786+00,469,585.35,3.9,2018-08-02 13:30:40.686986+00,
514,823,2017-11-20 10:53:58.379786+00,823,181.95,3.9,2018-08-02 13:30:40.686986+00,
515,653,2017-05-24 09:24:31.384586+00,653,228.02,3.9,2018-08-02 13:30:40.686986+00,
516,762,2017-08-05 22:19:16.312586+00,762,242.32,3.9,2018-08-02 13:30:40.686986+00,
517,977,2017-12-09 17:18:04.283786+00,977,207,3.9,2018-08-02 13:30:40.686986+00,
518,998,2016-10-18 03:12:37.374986+00,998,78.6,3.9,2018-08-02 13:30:40.686986+00,
519,219,2018-03-24 06:50:01.182986+00,219,117.6,3.9,2018-08-02 13:30:40.686986+00,
520,828,2017-02-05 10:04:50.843786+00,828,113.2,3.9,2018-08-02 13:30:40.686986+00,
521,934,2018-01-20 01:29:46.254986+00,934,480.88,3.9,2018-08-02 13:30:40.686986+00,
522,403,2017-01-06 23:11:48.616586+00,403,94.8,3.9,2018-08-02 13:30:40.686986+00,
523,669,2018-06-21 20:20:50.258186+00,669,230,3.9,2018-08-02 13:30:40.686986+00,
524,515,2016-08-30 23:45:58.110986+00,515,457.06,3.9,2018-08-02 13:30:40.686986+00,
525,564,2018-06-25 17:39:46.418186+00,564,356.64,3.9,2018-08-02 13:30:40.686986+00,
526,1005,2017-02-27 08:08:17.368586+00,1005,343.84,3.9,2018-08-02 13:30:40.686986+00,
527,870,2017-08-02 07:20:51.006986+00,870,182,3.9,2018-08-02 13:30:40.686986+00,
528,1004,2016-10-18 10:18:21.016586+00,1004,109.34,3.9,2018-08-02 13:30:40.686986+00,
529,879,2018-01-19 01:33:46.446986+00,879,406.16,3.9,2018-08-02 13:30:40.686986+00,
530,742,2017-09-19 11:34:02.632586+00,742,193.4,3.9,2018-08-02 13:30:40.686986+00,
531,1089,2017-01-24 07:36:39.333386+00,1089,156.4,3.9,2018-08-02 13:30:40.686986+00,
532,688,2017-04-03 22:18:30.002186+00,688,441.24,3.9,2018-08-02 13:30:40.686986+00,
533,758,2017-06-03 06:59:27.966986+00,758,427.48,3.9,2018-08-02 13:30:40.686986+00,
534,783,2016-12-14 19:23:01.643786+00,783,245.72,3.9,2018-08-02 13:30:40.686986+00,
535,710,2018-06-12 22:36:31.384586+00,710,293.12,3.9,2018-08-02 13:30:40.686986+00,
536,567,2017-12-27 06:15:11.944586+00,567,185.64,3.9,2018-08-02 13:30:40.686986+00,
537,543,2017-08-11 11:02:56.651786+00,543,226.67,3.9,2018-08-02 13:30:40.686986+00,
538,538,2017-08-26 21:34:17.003786+00,538,185.37,3.9,2018-08-02 13:30:40.686986+00,
539,599,2016-08-28 19:27:08.402186+00,599,168.2,3.9,2018-08-02 13:30:40.686986+00,
540,667,2016-11-07 16:16:08.133386+00,667,59,3.9,2018-08-02 13:30:40.686986+00,
541,614,2017-05-31 16:06:42.645386+00,614,462.09,3.9,2018-08-02 13:30:40.686986+00,
542,200,2017-01-31 07:25:02.690186+00,200,255.64,3.9,2018-08-02 13:30:40.686986+00,
543,807,2018-03-26 20:02:00.491786+00,807,235,3.9,2018-08-02 13:30:40.686986+00,
544,474,2016-09-11 04:07:00.011786+00,474,447.8,3.9,2018-08-02 13:30:40.686986+00,
545,542,2017-02-19 18:39:33.832586+00,542,162.32,3.9,2018-08-02 13:30:40.686986+00,
546,767,2017-07-01 11:05:11.349386+00,767,198.74,3.9,2018-08-02 13:30:40.686986+00,
547,956,2018-04-04 23:03:00.021386+00,956,356.13,3.9,2018-08-02 13:30:40.686986+00,
548,217,2017-12-06 15:03:27.006986+00,217,90,3.9,2018-08-02 13:30:40.686986+00,
549,419,2017-11-30 12:47:31.883786+00,419,318.84,3.9,2018-08-02 13:30:40.686986+00,
550,143,2018-02-18 00:35:18.952586+00,143,78.88,3.9,2018-08-02 13:30:40.686986+00,
551,861,2017-06-20 15:11:59.445386+00,861,199.74,3.9,2018-08-02 13:30:40.686986+00,
552,329,2018-07-09 08:48:48.405386+00,329,390.9,3.9,2018-08-02 13:30:40.686986+00,
553,1039,2016-08-05 20:09:14.910986+00,1039,149.58,3.9,2018-08-02 13:30:40.686986+00,
554,543,2017-02-13 07:12:35.157386+00,543,366.29,3.9,2018-08-02 13:30:40.686986+00,
555,554,2016-11-18 14:19:55.826186+00,554,512.24,3.9,2018-08-02 13:30:40.686986+00,
556,602,2017-11-14 16:24:33.746186+00,602,235.04,3.9,2018-08-02 13:30:40.686986+00,
557,125,2018-05-05 23:37:56.430986+00,1125,98.15,3.9,2018-08-02 13:30:40.686986+00,
558,590,2016-09-04 18:06:18.251786+00,590,133.26,3.9,2018-08-02 13:30:40.686986+00,
